Best one,,
Angular Displacement (deg) CAM,Angular Displacement18 (deg) ALPHA,Angular Displacement18 (deg) ALPHA Fixed
,,
-0.74219214,10.99684024,-10.99684024
-1.447460114,11.02291527,-11.02291527
-2.40733147,11.04556221,-11.04556221
-4.839066957,11.09917162,-11.09917162
-4.941001496,11.10142253,-11.10142253
-6.425581765,11.13320268,-11.13320268
-7.283490529,11.15156353,-11.15156353
-9.753954732,11.20251719,-11.20251719
-9.910573416,11.20565711,-11.20565711
-11.82888235,11.24436583,-11.24436583
-12.2392309,11.25244975,-11.25244975
-14.74127234,11.29929958,-11.29929958
-16.84260948,11.3339032,-11.3339032
-17.25545635,11.34045137,-11.34045137
-19.78626693,11.37716275,-11.37716275
-22.34156811,11.40538444,-11.40538444
-23.0151364,11.41242189,-11.41242189
-24.91336297,11.42632306,-11.42632306
-26.95716494,11.43500209,-11.43500209
-27.50821994,11.43636221,-11.43636221
-30.12331494,11.43484743,-11.43484743
-30.42603245,11.43386094,-11.43386094
-31.82128437,11.42604316,-11.42604316
-32.75512923,11.41919552,-11.41919552
-34.29386882,11.40469585,-11.40469585
-35.40515438,11.39106866,-11.39106866
-37.43810341,11.36258236,-11.36258236
-38.06896128,11.35274523,-11.35274523
-40.52275367,11.31515863,-11.31515863
-40.75925023,11.31168859,-11.31168859
-41.66725534,11.29852952,-11.29852952
-42.46554429,11.28739001,-11.28739001
-43.4622518,11.27443219,-11.27443219
-44.17863533,11.26569803,-11.26569803
-45.16077403,11.25550032,-11.25550032
-46.18179222,11.2471991,-11.2471991
-46.87373417,11.24236697,-11.24236697
-47.6024536,11.23837594,-11.23837594
-48.93376383,11.2328086,-11.2328086
-50.70974394,11.22819666,-11.22819666
-51.70872027,11.22702973,-11.22702973
-51.94977759,11.2267602,-11.2267602
-52.80476856,11.2261418,-11.2261418
-53.63725193,11.22611162,-11.22611162
-54.50144197,11.2262026,-11.2262026
-55.53470931,11.22669216,-11.22669216
-57.01375239,11.227291,-11.227291
-57.30292287,11.22732199,-11.22732199
-58.7124053,11.22708997,-11.22708997
-60.12475277,11.22676536,-11.22676536
-60.41642575,11.22631005,-11.22631005
-62.8092506,11.22267313,-11.22267313
-62.97461763,11.22233239,-11.22233239
-65.84137803,11.21184733,-11.21184733
-66.06624038,11.21064795,-11.21064795
-66.99030761,11.20556801,-11.20556801
-68.73186499,11.19357983,-11.19357983
-68.83630516,11.19279825,-11.19279825
-70.35685826,11.18064373,-11.18064373
-71.6408451,11.17260247,-11.17260247
-71.92608599,11.17127107,-11.17127107
-73.89415445,11.17364504,-11.17364504
-74.56572984,11.17871375,-11.17871375
-74.78958831,11.18105872,-11.18105872
-77.50171227,11.24181147,-11.24181147
-78.28686641,11.27396427,-11.27396427
-79.13778296,11.31329202,-11.31329202
-80.46683311,11.39239826,-11.39239826
-80.49887353,11.39446798,-11.39446798
-81.47828994,11.46329435,-11.46329435
-82.77639493,11.5713749,-11.5713749
-83.44746887,11.63337415,-11.63337415
-86.44510599,11.96023081,-11.96023081
-89.47283629,12.35839577,-12.35839577
-92.51678426,12.80194829,-12.80194829
-92.70784051,12.83067082,-12.83067082
-94.49729365,13.10622853,-13.10622853
-95.57096553,13.27741743,-13.27741743
-96.71621554,13.4665645,-13.4665645
-98.23275838,13.72668713,-13.72668713
-98.63990548,13.79884775,-13.79884775
-99.48952101,13.95434309,-13.95434309
-101.739498,14.38959394,-14.38959394
-101.9270155,14.42733874,-14.42733874
-104.8573804,15.05619402,-15.05619402
-105.8893358,15.29283132,-15.29283132
-107.9932357,15.80359405,-15.80359405
-110.5620126,16.46853305,-16.46853305
-111.1577917,16.62676228,-16.62676228
-114.3356987,17.49947711,-17.49947711
-117.5313751,18.40424692,-18.40424692
-120.7473494,19.32065242,-19.32065242
-121.4532085,19.52087823,-19.52087823
-122.437153,19.799533,-19.799533
-123.6233793,20.13455495,-20.13455495
-123.9762116,20.23392853,-20.23392853
-124.9288589,20.50188441,-20.50188441
-126.5870561,20.96223213,-20.96223213
-127.2063577,21.13558856,-21.13558856
-127.4072054,21.19166164,-21.19166164
-130.4743731,22.04641909,-22.04641909
-131.5690891,22.34914734,-22.34914734
-133.2210262,22.80399437,-22.80399437
-133.7529515,22.94974991,-22.94974991
-135.7573077,23.49545885,-23.49545885
-137.0471778,23.8431148,-23.8431148
-139.6895652,24.54373154,-24.54373154
-140.3840538,24.72523131,-24.72523131
-143.737755,25.58224525,-25.58224525
-143.8424925,25.60847957,-25.60847957
-144.8669351,25.86322521,-25.86322521
-147.1078351,26.40805495,-26.40805495
-150.5011342,27.19068793,-27.19068793
-150.5536435,27.20238057,-27.20238057
-153.9093621,27.91434768,-27.91434768
-153.9999765,27.93253335,-27.93253335
-154.9857185,28.12665645,-28.12665645
-157.334582,28.55744602,-28.55744602
-157.334582,28.55744602,-28.55744602
-158.2430857,28.71089474,-28.71089474
-159.5196261,28.91384571,-28.91384571
-160.7674934,29.09739967,-29.09739967
-162.7610296,29.36372496,-29.36372496
-164.217158,29.53965688,-29.53965688
-165.5888928,29.69323673,-29.69323673
-167.6738181,29.90367013,-29.90367013
-169.6470468,30.08328987,-30.08328987
-171.1714819,30.20765755,-30.20765755
-171.9361444,30.26603635,-30.26603635
-174.6831326,30.44637048,-30.44637048
-178.2222492,30.60753538,-30.60753538
-179.3847619,30.64184886,-30.64184886
179.0748046,30.67062592,-30.67062592
178.2209224,30.67727257,-30.67727257
175.1675066,30.63731308,-30.63731308
174.6382828,30.62254588,-30.62254588
174.1280538,30.60576198,-30.60576198
171.7824426,30.49960061,-30.49960061
171.0514756,30.45679613,-30.45679613
167.4344659,30.178195,-30.178195
163.7938505,29.7901084,-29.7901084
160.5455905,29.36257504,-29.36257504
160.1372594,29.30401416,-29.30401416
159.2534416,29.17358361,-29.17358361
157.8824465,28.96148411,-28.96148411
156.6520481,28.76078723,-28.76078723
156.4640544,28.72939265,-28.72939265
153.3402503,28.17661295,-28.17661295
152.7787994,28.07093073,-28.07093073
150.640513,27.65265708,-27.65265708
149.4853504,27.4162566,-27.4162566
149.076374,27.33107818,-27.33107818
148.2754619,27.16144179,-27.16144179
146.1045942,26.68647247,-26.68647247
145.359974,26.51893992,-26.51893992
144.0701478,26.22395623,-26.22395623
141.6085496,25.64367019,-25.64367019
138.5089287,24.8884299,-24.8884299
137.8393586,24.72220387,-24.72220387
134.0386005,23.7617247,-23.7617247
130.2268361,22.76070704,-22.76070704
126.3961149,21.71910917,-21.71910917
122.543356,20.64131538,-20.64131538
118.6717606,19.53428875,-19.53428875
114.7826298,18.40720923,-18.40720923
111.604814,17.48903191,-17.48903191
